host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,minimum_nights,availability_30,availability_60,availability_90,availability_365,instant_bookable,cancellation_policy
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34326522,-71.10061667,t,Apartment,Entire home/apt,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$279.00 ,,$100.00 ,3,11,41,67,67,f,moderate
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34355204,-71.102373,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$219.00 ,,$100.00 ,3,30,60,90,148,f,moderate
within an hour,100%,95%,f,1,"['phone', 'reviews']",t,f,Fenway,42.35033914,-71.10117366,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$140.00 ,,$40.00 ,3,2,6,24,114,f,strict
within a day,60%,89%,f,1,"['email', 'phone', 'reviews']",t,f,Fenway,42.35060093,-71.09475061,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$140.00 ,$100.00 ,$45.00 ,2,4,9,39,191,f,strict
within an hour,97%,98%,f,5,"['email', 'phone', 'reviews', 'kba']",t,t,Fenway,42.34496277,-71.10453311,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",$160.00 ,$250.00 ,$90.00 ,3,6,23,50,77,t,flexible
within a few hours,83%,81%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Fenway,42.34171903,-71.08889492,t,Apartment,Private room,1,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Smoke Detector"",Essentials,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$75.00 ,,,1,3,3,3,3,f,flexible
within a few hours,98%,55%,f,749,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34433173,-71.10097607,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",$239.00 ,,$100.00 ,3,29,59,89,179,f,strict
within a few hours,82%,100%,f,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",t,t,Fenway,42.3458175,-71.08757335,t,Apartment,Private room,1,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$74.00 ,,,1,0,0,0,0,f,flexible
within an hour,100%,91%,f,37,"['email', 'phone', 'reviews']",t,f,Fenway,42.34913891,-71.10368825,f,Bed & Breakfast,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$125.00 ,,$25.00 ,2,15,30,50,300,f,strict
N/A,N/A,N/A,f,1,"['email', 'phone']",t,f,Fenway,42.34496493,-71.09922517,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,Washer,Dryer}",$135.00 ,,$45.00 ,2,0,0,0,0,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t,Fenway,42.34174883,-71.09203402,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$125.00 ,,,2,9,20,34,35,f,flexible
within a few hours,100%,100%,f,5,"['email', 'phone', 'reviews']",t,f,Fenway,42.35108171,-71.09030969,t,Condominium,Private room,3,2,1,1,Real Bed,"{""Wireless Internet"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers}",$120.00 ,$200.00 ,$150.00 ,14,0,0,0,77,f,flexible
within a day,70%,73%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Fenway,42.34483908,-71.0893548,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",$100.00 ,,$60.00 ,1,5,35,62,309,f,moderate
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34322176,-71.10007916,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$219.00 ,,$100.00 ,3,30,60,90,148,f,moderate
N/A,N/A,N/A,f,2,"['email', 'phone', 'reviews', 'kba']",t,t,Fenway,42.34690896,-71.10492805,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$100.00 ,,,1,0,0,0,0,f,flexible
within an hour,100%,100%,f,2,"['email', 'phone', 'reviews']",t,f,Fenway,42.34323691,-71.09650008,f,Apartment,Private room,2,1,1,2,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",$77.00 ,,,2,2,12,35,300,f,flexible
N/A,N/A,N/A,f,1,"['email', 'phone', 'reviews', 'weibo', 'jumio']",t,t,Fenway,42.34273794,-71.08843143,t,Apartment,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Laptop Friendly Workspace""}",$55.00 ,,$10.00 ,1,0,0,0,0,t,strict
within an hour,100%,100%,f,6,"['email', 'phone', 'linkedin', 'amex', 'reviews', 'kba']",t,t,Fenway,42.34753481,-71.08893981,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Breakfast,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$300.00 ,,,3,7,31,49,153,f,moderate
within an hour,100%,83%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34642038,-71.09368977,t,Apartment,Private room,2,1,1,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace""}",$85.00 ,$200.00 ,$20.00 ,1,0,0,0,248,f,moderate
within an hour,100%,91%,f,37,"['email', 'phone', 'reviews']",t,f,Fenway,42.35012204,-71.10239512,f,Bed & Breakfast,Private room,2,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Breakfast,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$175.00 ,,$25.00 ,2,7,27,49,302,f,strict
within an hour,100%,69%,f,122,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Fenway,42.345109,-71.09667173,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$232.00 ,,,10,29,59,89,364,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.35069033,-71.09782767,t,Apartment,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",Kitchen,""Elevator in Building"",Heating,""Smoke Detector"",Essentials,Hangers,""Hair Dryer"",""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$77.00 ,,$20.00 ,6,0,0,0,0,f,flexible
within a few hours,100%,90%,f,1,"['email', 'phone', 'reviews']",t,f,Fenway,42.34335156,-71.08897083,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Hangers,Iron,""Laptop Friendly Workspace""}",$140.00 ,,,1,0,0,0,0,f,flexible
N/A,N/A,N/A,f,1,"['email', 'phone']",t,f,Fenway,42.34108603,-71.08825202,f,Apartment,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",$60.00 ,,,1,0,0,0,0,f,flexible
within a few hours,89%,45%,f,558,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34362398,-71.09792814,t,Apartment,Entire home/apt,5,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",""Family/Kid Friendly"",Washer,Dryer}",$349.00 ,,$150.00 ,3,29,59,89,364,f,super_strict_30
within a few hours,100%,100%,f,1,"['email', 'phone', 'google', 'jumio']",t,t,Fenway,42.34474441,-71.10416334,f,Condominium,Private room,3,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",$213.00 ,,$54.00 ,1,0,0,18,172,f,flexible
N/A,N/A,N/A,f,1,"['email', 'phone']",t,f,Fenway,42.34428021,-71.09771036,f,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector""}",$570.00 ,$500.00 ,$100.00 ,1,30,60,90,365,f,flexible
within a few hours,98%,55%,f,749,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34506184,-71.10172523,t,Apartment,Entire home/apt,5,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,""translation missing: en.hosting_amenity_50""}",$319.00 ,,$100.00 ,3,29,59,89,208,f,strict
within an hour,100%,100%,f,2,"['email', 'phone', 'reviews']",t,f,Fenway,42.3442775,-71.09506496,f,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",$89.00 ,,,2,3,24,46,321,f,flexible
within a day,64%,93%,f,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Fenway,42.34423914,-71.08935569,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$97.00 ,$95.00 ,$25.00 ,1,3,3,3,263,f,flexible
within a day,50%,50%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34420702,-71.08881428,f,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoke Detector""}",$175.00 ,$500.00 ,$25.00 ,1,30,60,90,365,f,flexible
within a day,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Fenway,42.34157934,-71.08740605,t,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Washer,Dryer,""Smoke Detector"",Essentials,""Lock on Bedroom Door""}",$100.00 ,,$50.00 ,1,0,0,0,0,f,flexible
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34460149,-71.10171898,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$219.00 ,,$100.00 ,3,30,60,90,148,f,moderate
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34485018,-71.09752631,t,Apartment,Entire home/apt,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Pets live on this property"",Dog(s),Cat(s),""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",$429.00 ,,$100.00 ,3,30,60,86,86,f,moderate
within a few hours,100%,100%,f,1,"['email', 'phone']",t,f,Fenway,42.34768322,-71.10663698,t,Apartment,Private room,1,3,1,1,Real Bed,"{Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""Fire Extinguisher"",""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace""}",$30.00 ,$200.00 ,,1,0,0,0,0,t,flexible
within a day,100%,100%,f,2,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t,Fenway,42.34462658,-71.0949079,t,Apartment,Shared room,2,1,1,1,Pull-out Sofa,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Breakfast,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$80.00 ,$200.00 ,,1,0,0,0,248,f,moderate
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34712941,-71.0944416,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers}",$120.00 ,,$20.00 ,1,0,0,0,0,f,moderate
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34339556,-71.10105888,t,Apartment,Entire home/apt,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$279.00 ,,$100.00 ,3,27,57,83,83,f,moderate
N/A,N/A,N/A,f,1,"['email', 'phone']",t,f,Fenway,42.35047343,-71.0972315,t,Apartment,Entire home/apt,6,1,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$192.00 ,,$60.00 ,1,0,0,0,0,f,flexible
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34467657,-71.10105939,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$219.00 ,,$100.00 ,3,27,57,87,145,f,moderate
within a day,89%,58%,f,1,"['email', 'phone', 'reviews']",t,f,Fenway,42.34706238,-71.09469223,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$220.00 ,$400.00 ,,1,23,53,83,358,f,moderate
within a few hours,100%,93%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34400981,-71.08808873,t,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials,Shampoo}",$69.00 ,,,6,0,0,0,0,f,flexible
N/A,N/A,N/A,f,1,"['email', 'phone']",t,f,Fenway,42.3479345,-71.09757989,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$4,000.00 ",,,6,14,31,61,336,f,strict
within a few hours,100%,50%,f,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Fenway,42.35062447,-71.09486023,t,Condominium,Entire home/apt,1,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$295.00 ,$200.00 ,$50.00 ,4,20,20,20,60,f,moderate
within an hour,100%,67%,f,4,"['email', 'phone', 'reviews']",t,f,Fenway,42.34275721,-71.09012123,t,Apartment,Shared room,1,1,1,1,Airbed,"{TV,""Air Conditioning"",Kitchen,""Pets live on this property"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Laptop Friendly Workspace""}",$85.00 ,,$8.00 ,1,26,56,81,356,f,strict
within a day,90%,100%,f,1,"['phone', 'facebook', 'reviews']",t,f,Fenway,42.34066597,-71.10010513,t,Apartment,Shared room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$60.00 ,,$10.00 ,1,2,13,31,31,f,flexible
within a few hours,96%,68%,f,313,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",t,t,Fenway,42.34504432,-71.10009298,t,Apartment,Entire home/apt,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,Breakfast,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$279.00 ,,$100.00 ,3,30,60,86,86,f,moderate
within a few hours,97%,81%,f,21,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.3468901,-71.10380839,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers}",$239.00 ,,,2,10,35,65,340,f,flexible
within a few hours,98%,55%,f,749,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.3437529,-71.10035283,t,Apartment,Entire home/apt,5,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Essentials,Shampoo,""translation missing: en.hosting_amenity_50""}",$199.00 ,,$100.00 ,3,30,60,90,117,f,strict
within an hour,100%,100%,f,1,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,Fenway,42.34106025,-71.09831038,t,Apartment,Private room,3,1,1,1,Airbed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Iron,""Laptop Friendly Workspace""}",$83.00 ,,,1,5,10,33,33,f,flexible
within an hour,100%,94%,f,11,"['email', 'phone', 'reviews']",t,f,Fenway,42.34405745,-71.09806546,t,Apartment,Entire home/apt,4,1,0,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$189.00 ,$100.00 ,$40.00 ,1,12,29,55,326,f,strict
within a few hours,100%,90%,f,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Fenway,42.34654985,-71.09290998,t,Apartment,Entire home/apt,10,1,1,16,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",$229.00 ,$200.00 ,,2,0,0,0,0,f,strict
N/A,N/A,N/A,f,1,"['email', 'phone', 'reviews']",t,f,Fenway,42.3472229,-71.09578632,f,Apartment,Private room,1,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",Hangers}",$85.00 ,,$30.00 ,2,0,0,0,0,f,flexible
within a few hours,100%,67%,f,15,"['email', 'phone', 'reviews', 'jumio']",t,t,Fenway,42.34771223,-71.09005574,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Pets Allowed"",Doorman,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$289.00 ,,,4,19,49,79,79,f,moderate
N/A,N/A,N/A,f,1,"['phone', 'reviews']",t,f,Fenway,42.34753064,-71.1035312,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{""Wireless Internet"",Kitchen,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$110.00 ,,,1,0,0,0,0,f,flexible
